item,real part (mfr+model),qty,unit_price_est_usd,mass_g,honesty_note
motor (100 W-class outrunner),SunnySky X2212 KV980 (V3),1,15.3,56,"verified sunnyskyusa/buddyrc ~$15.30, 56 g. On 2S with the 12x8 prop full throttle sits right at the ~100 W cap; on 3S/4S it would grossly exceed 100 W -- 2S pack route chosen to match. HONEST: certified thruster ledger is 55.2 g for motor+ESC+prop TOTAL; this motor alone is 56 g (real thruster group = 120 g, +65 g vs ledger)."
propeller,APC 12x8E Thin Electric (LP12080E),1,4.89,26,"verified apcprop/innov8tive $4.89, 26.1 g (0.92 oz). 12 in = 305 mm = the certified 0.30 m prop dia. HONEST: fixed, not folding -- a real folding 12x8 (Aeronaut CAM) is ~3x the price and needs a yoke; drag of a stopped fixed prop was NOT in the certified drag ledger."
ESC (20-30 A),Hobbywing Skywalker 30A (2-3S version),1,17.32,38,"verified ebay/amazon ~$17.32, 37-38 g. 30 A continuous is ~2x margin over the ~13 A max draw at 100 W on 2S. Use the 2-3S variant (the V2 is 3-4S). Linear BEC feeds servos/FC."
battery pack A (80 Wh class),"Molicel INR18650-P28A x8, 2S4P (or 4S2P)",8,9.95,410,"verified 18650batterystore/batteriesinaflash $9.95/cell, 46.65 g. 8 x 10.08 Wh = 80.6 Wh nominal vs certified 79.6 Wh (match). HONEST DIY pack: cells 373 g + 37 g strip/BMS/leads = 410 g -> 197 Wh/kg pack-level vs the certified 250 Wh/kg -- delta +92 g on the certified 318 g. P28A is a 35 A power cell (overkill current, honest density); NCR18650GA ($7.18, 12.4 Wh/cell) is denser but no GA config lands on 80 Wh (2S3P=74.5 short / 2S4P=99.4 over)."
"battery pack B (126 Wh class, equinox)","Molicel INR18650-P28A x12, 2S6P (or 4S3P)",12,9.95,605,"12 x 10.08 Wh = 121.0 Wh vs certified 125.5 Wh -- HONEST: 3.6% short; the equinox day (B d80) was certified at 125.5 Wh and is NOT re-certified at 121 Wh. Pack 605 g -> 200 Wh/kg vs certified 250 (delta +103 g on 502 g). Samsung INR21700-50E x8 4S2P = 144 Wh / ~597 g (241 Wh/kg est $6-8/cell) if the shortfall is unacceptable -- +19 Wh, +95 g vs certified."
solar cells,"SunPower C60/E60 5x5 flexible mono, 21 pcs",21,4.5,234,"verified ebay ($3.79+) / fullbattery / amazon multi-packs, ~7 g bare cell, 3.1-3.6 W, 22%+ eff (certified assumed 0.227 -- honest match). Certified PV ledger 234 g INCLUDES the 0.45 kg/m2 laminate billed on full wing area; bare cells 21x7=147 g leave 87 g for EVA/ETFE encapsulation -- tight but feasible with 50 um ETFE. Buy 2-3 spares (+$10-14): C60s crack easily in handling."
MPPT charge controller,Genasun GV-5-Li (2S li-ion variant) -- or GVB-8-Li boost,1,100.0,57,"Genasun GV-5 line verified (~EUR 98 / est $100, 57 g, 5 A, 99.85% peak). HONEST wiring constraint: 21 C60 in series gives Vmp ~12.2 V; a buck GV-5 needs Vpanel>Vbatt -> works ONLY with the 2S pack (8.4 V max) -- confirm the 2S li-ion output variant at sunforgellc before ordering. If unavailable: GVB-8-Li-16.7V boost (verified GVB-8 family ~$152) + 4S packs + panel rewired 10S2P -- but GVB-8 is ~226 g (+169 g) and 2P panel current 11.6 A exceeds its 8 A input rating at full sun: derate or accept clipping. The certified ledger carried NO separate MPPT mass at all -- +57 g honest hit either way."
flight controller,Matek F405-WING (or -WING-V2),1,60.0,25,"verified RMRC/GetFPV listings (CoreWing F405 clone $65.25 shown; Matek street est $55-65), 25 g. Runs iNav/ArduPilot, 2S OK (6-30 V input). Inside the certified 100 g payload/avionics budget."
GPS,Beitian BN-220 (GPS+GLONASS),1,18.0,5,"verified unmannedtech GBP 12.01 / rotorgeeks CAD 26.26 -> est $18 US, 5.3 g."
servos (2x),"TowerPro MG90S metal-gear, 2-pack",2,6.0,27,"verified amazon 2-packs (est $12/pair), HONEST: the '9 g' class MG90S actually weighs 12.2-13.6 g each with lead -- 27 g the pair. FC 25 + GPS 5 + servos 27 + RX/wiring ~25 = ~82 g, inside the 100 g certified avionics budget."
wing spar + boom,"3K roll-wrapped carbon tube 10 mm OD x 8 mm ID x 1000 mm, 3 pcs",3,8.5,120,"verified canuckengineering $7.70 / windcatcherrc $9.77 / RMRC. 2 tubes + internal joiner = 2.5 m spar at 30% chord (BUILD_SHEET), 3rd tube = pod boom stock. ~40 g/m typical 3K 10x8 -- inside the certified wing 738 g / pod-boom 59 g build-to-weight budgets."
hull envelope film,"1.5 mil (38 um) LLDPE/LDPE poly sheeting, 12 ft x 100 ft roll",1,66.0,271,"verified class: walmart/skilcraft 12x100 ft roll $59.98-72.37; true LLDPE layflat tubing (interplas 1.5 mil) $126/roll. Need only ~10 m2 of the ~111 m2 roll. HONEST: commodity 'painter's' rolls are LDPE not LLDPE -- for gore seams + He holding the practical difference is small (both ~35 g/m2 at 38 um, similar permeation class); buy packaging-grade LLDPE tubing if provenance matters. 271 g = certified film+tapes ledger."
seam tape + fill valve,3M 8898/Tesa PSA tape + 10 mm barb valve,1,25.0,0,tape+valve mass already inside the certified x1.10 film factor (271.4 g row). Valve is a build [choice] per BUILD_SHEET.
HELIUM -- party-tank route,Balloon Time Jumbo 14.9 cu ft (0.42 m3) x4,4,55.0,222,"verified walmart/costco listings (street $50-65/tank est). HONEST USABLE: 14.9 cu ft nominal with built-in 10% waste -> ~0.38 m3/tank; 4 tanks = 1.52 m3 >= the 1.328 m3 20C ground fill. CRITICAL: many Balloon Time tanks are an 80% He / 20% AIR BLEND -- lift/m3 drops ~20% and f=0.80 becomes 0.703 -- MEASURED in V2_10_asbuilt, not estimated; an earlier ~0.64 prediction here was WRONG and is retracted (f does not scale with lift because all-up mass grows with gas mass). Gas mass 253 -> 568 g; the wing must carry 7.55 N instead of 4.46 N; closes=False on every pack. Only the 99.9% variant works -- confirm the label BEFORE buying, or use the welding route. 222 g = certified He mass."
